dataset,prob_selected,edge_method,time_mc,approximation,T,L,time_ic_apporx,rmse,pearson,spearman,auc
Anybeat,0.1,random_0.5,261.3730878829956,um_IC,6,0,0.0559084415435791,0.01819050860734718,tensor(0.9988),0.9989524804992259,0.9999292184057358
Anybeat,0.1,random_0.5,261.3730878829956,dmp_um_fast,7,0,0.22172975540161133,0.1801361826152779,tensor(0.8348),0.8418373465543001,0.987152812340528
Anybeat,0.1,random_0.5,261.3730878829956,Naive,9,0,0.14594793319702148,0.18023466683154546,tensor(0.8351),0.8419327711654107,0.9872560956872602
Anybeat,0.1,random_0.5,261.3730878829956,dmp_ic_fast,6,0,0.15843462944030762,0.17998982993508855,tensor(0.8352),0.842139997836758,0.9871588530702797
Anybeat,0.1,random_0.5,261.3730878829956,dmp_inf,6,0,0.44092464447021484,0.005017562177449167,tensor(0.9999),0.9998261138097162,0.9999595533747062
Anybeat,0.1,random_0.5,261.3730878829956,modified_ALE,2,0,0.04411721229553223,0.12972611461402422,tensor(0.9279),0.9174561145717339,0.957127890390696
Anybeat,0.1,random_0.5,261.3730878829956,ALE_heuristic,3,0,0.045063018798828125,0.28860851671393706,tensor(0.8936),0.9077382532176432,0.9715400210164867
Anybeat,0.1,random_0.5,268.4399416446686,SWE,2,3,0.05955338478088379,0.009785768848195993,tensor(0.9995),0.9994805749220619,0.9999343381982245
Anybeat,0.1,random_0.5,268.4399416446686,um_IC,6,0,0.06056356430053711,0.017872892775166717,tensor(0.9987),0.9985926440968516,0.9999218063235318
Anybeat,0.1,random_0.5,268.4399416446686,dmp_um_fast,7,0,0.22011709213256836,0.17874343243117916,tensor(0.8353),0.8409459169364426,0.9907533040418166
Anybeat,0.1,random_0.5,268.4399416446686,Naive,9,0,0.14494943618774414,0.17890094599295123,tensor(0.8355),0.8409937340861778,0.9908258192125649
Anybeat,0.1,random_0.5,268.4399416446686,dmp_ic_fast,6,0,0.14909839630126953,0.1786134485209554,tensor(0.8356),0.8412244601953426,0.9907688383448213
Anybeat,0.1,random_0.5,268.4399416446686,dmp_inf,6,0,0.4628322124481201,0.005170622328918741,tensor(0.9999),0.9998130676849144,0.9999757194927829
Anybeat,0.1,random_0.5,268.4399416446686,modified_ALE,2,0,0.05117034912109375,0.12225230574042396,tensor(0.9382),0.9245562937579517,0.9631645124461098
Anybeat,0.1,random_0.5,268.4399416446686,ALE_heuristic,3,0,0.04768705368041992,0.2327575663587471,tensor(0.8990),0.9238545460450198,0.9777605566032145
Anybeat,0.1,random_0.5,262.0607604980469,SWE,2,3,0.06327104568481445,0.008728695473740805,tensor(0.9996),0.9995984526162828,0.9999544366882072
Anybeat,0.1,random_0.5,262.0607604980469,um_IC,6,0,0.06249570846557617,0.01806736553712558,tensor(0.9987),0.9987213138835677,0.9999110991703811
Anybeat,0.1,random_0.5,262.0607604980469,dmp_um_fast,7,0,0.21893310546875,0.17051784643164453,tensor(0.8491),0.8547761913681978,0.9926694784990922
Anybeat,0.1,random_0.5,262.0607604980469,Naive,9,0,0.1520252227783203,0.17048382737871792,tensor(0.8496),0.8550159359999399,0.992671115112303
Anybeat,0.1,random_0.5,262.0607604980469,dmp_ic_fast,6,0,0.163740873336792,0.17032787446088554,tensor(0.8495),0.8550939557044348,0.9926726862609855
Anybeat,0.1,random_0.5,262.0607604980469,dmp_inf,6,0,0.4490635395050049,0.0049540066172187565,tensor(0.9999),0.9998346845953765,0.999981015286753
Anybeat,0.1,random_0.5,262.0607604980469,modified_ALE,2,0,0.04611921310424805,0.1239356646493261,tensor(0.9339),0.9211214191054764,0.9593937932295014
Anybeat,0.1,random_0.5,262.0607604980469,ALE_heuristic,3,0,0.0505521297454834,0.25267468120414815,tensor(0.8987),0.9178003247437211,0.9783418463406113
Anybeat,0.1,random_0.5,262.07182455062866,SWE,2,3,0.06355547904968262,0.009083167480590671,tensor(0.9996),0.9995491221665805,0.999945633432235
Anybeat,0.1,random_0.5,262.07182455062866,um_IC,6,0,0.06038093566894531,0.02242260362067628,tensor(0.9983),0.9985906181824105,0.9999210765525922
Anybeat,0.1,random_0.5,262.07182455062866,dmp_um_fast,7,0,0.22382616996765137,0.1677709568182232,tensor(0.8538),0.858017874735011,0.9926322795061416
Anybeat,0.1,random_0.5,262.07182455062866,Naive,9,0,0.14766287803649902,0.16800797913682095,tensor(0.8538),0.8578384386846118,0.9925990554925073
Anybeat,0.1,random_0.5,262.07182455062866,dmp_ic_fast,6,0,0.16182470321655273,0.16763661504246938,tensor(0.8541),0.8582855533694309,0.9926324108263535
Anybeat,0.1,random_0.5,262.07182455062866,dmp_inf,6,0,0.44591641426086426,0.005296636408552159,tensor(0.9999),0.9998091093816043,0.999981746490533
Anybeat,0.1,random_0.5,262.07182455062866,modified_ALE,2,0,0.04607963562011719,0.13737851080560556,tensor(0.9175),0.9015954935117149,0.9676676506052417
Anybeat,0.1,random_0.5,262.07182455062866,ALE_heuristic,3,0,0.046423912048339844,0.23369943690260714,tensor(0.8841),0.8963188226189754,0.9791639472439433
Anybeat,0.1,random_0.5,261.6255166530609,SWE,2,3,0.07379007339477539,0.008601002501357381,tensor(0.9996),0.999618042221068,0.9999436636290551
Anybeat,0.1,random_0.5,261.6255166530609,um_IC,6,0,0.07488822937011719,0.016809702323654946,tensor(0.9988),0.9987780630685991,0.9999097830143608
Anybeat,0.1,random_0.5,261.6255166530609,dmp_um_fast,7,0,0.24814176559448242,0.17957635220022927,tensor(0.8348),0.8405804962951998,0.9866996919490468
Anybeat,0.1,random_0.5,261.6255166530609,Naive,9,0,0.1589655876159668,0.17973961281773884,tensor(0.8350),0.8406796317453006,0.9866740845077081
Anybeat,0.1,random_0.5,261.6255166530609,dmp_ic_fast,6,0,0.16379070281982422,0.17944729340062088,tensor(0.8351),0.8408740910284694,0.9867170918771356
Anybeat,0.1,random_0.5,261.6255166530609,dmp_inf,6,0,0.5089278221130371,0.006333561583453092,tensor(0.9998),0.9997102854801931,0.9999659880650938
Anybeat,0.1,random_0.5,261.6255166530609,modified_ALE,2,0,0.057772159576416016,0.13131407836780698,tensor(0.9327),0.9169941058561094,0.9641045392932399
Anybeat,0.1,random_0.5,261.6255166530609,ALE_heuristic,3,0,0.0615999698638916,0.220354826560999,tensor(0.8967),0.9177957721523493,0.9795608625846915
Anybeat,0.1,random_0.5,264.8407316207886,SWE,2,3,0.060518741607666016,0.00844883065320549,tensor(0.9996),0.9996046890549158,0.999955415832193
Anybeat,0.1,random_0.5,264.8407316207886,um_IC,6,0,0.06089663505554199,0.021282845265177937,tensor(0.9985),0.9988103338876863,0.999910042564071
Anybeat,0.1,random_0.5,264.8407316207886,dmp_um_fast,7,0,0.21251296997070312,0.1759553841517919,tensor(0.8412),0.8492337317835816,0.9917268092623543
Anybeat,0.1,random_0.5,264.8407316207886,Naive,9,0,0.14936614036560059,0.1759062057989095,tensor(0.8417),0.8495470115100672,0.9918390587821867
Anybeat,0.1,random_0.5,264.8407316207886,dmp_ic_fast,6,0,0.15477633476257324,0.17574889627044973,tensor(0.8416),0.8496489667560183,0.9917542962566659
Anybeat,0.1,random_0.5,264.8407316207886,dmp_inf,6,0,0.4509849548339844,0.004951021683418685,tensor(0.9999),0.9998246432983331,0.9999667262700438
Anybeat,0.1,random_0.5,264.8407316207886,modified_ALE,2,0,0.04872322082519531,0.12970773470101513,tensor(0.9256),0.9153486701567458,0.9584701107212955
Anybeat,0.1,random_0.5,264.8407316207886,ALE_heuristic,3,0,0.04823184013366699,0.2953147923415894,tensor(0.8953),0.9078455876336883,0.9773866207515496
Anybeat,0.1,random_0.5,263.70194697380066,SWE,2,3,0.06061506271362305,0.009257250518657367,tensor(0.9996),0.9995123448189158,0.9999439738776231
Anybeat,0.1,random_0.5,263.70194697380066,um_IC,6,0,0.06152915954589844,0.017196810974661837,tensor(0.9987),0.998638425672405,0.9999281918713198
Anybeat,0.1,random_0.5,263.70194697380066,dmp_um_fast,7,0,0.19705891609191895,0.17133142932570333,tensor(0.8481),0.8548036035862918,0.9908228948513308
Anybeat,0.1,random_0.5,263.70194697380066,Naive,9,0,0.12351131439208984,0.1712303861467944,tensor(0.8487),0.8552926356663054,0.9908282212784582
